id,name
244,Away Shots On Target
245,Away Goal Method Header
246,Away Goal Method Outside the Box
247,Corners Race To
248,Time Of 1st Score
249,Multicorners
250,First Card Received (3 way)
251,Player to be booked
252,Both Teams to Receive a Card
253,Time Of 1st Score
254,Team Performances (Range)
255,Home Player Assists
256,Away Player Assists
257,Player to Score or Assist
258,Home Player to Score or Assist
259,Away Player to Score or Assist
260,Team Time Of 1st Score
261,Total Goal Minutes (Range)
262,Late Goal (Range)
263,Early Goal (Range)
264,Player Shots On Target Total
265,Player Shots Total
266,Player Fouls Committed
267,Goalkeeper Saves
268,Home Goalkeeper Saves
269,Home Player Shots On Target Total
270,Home Player Shots Total
271,Home Player Fouls Committed
272,Home Player Tackles
273,Home Player Passes
274,Away Goalkeeper Saves
275,Away Player Shots On Target Total
276,Away Player Shots Total
277,Away Player Fouls Committed
278,Away Player Tackles
279,Away Player Passes
280,First Set Piece 5 Minutes
281,Total Tackles
282,Double Chance/Both Teams To Score
283,Away Win To Nill (1st Half)
284,Away Win To Nill (2nd Half)
285,Team To Score (Goals)
286,Team Goalscorers First
287,Team Goalscorers Last
288,Home Team Goalscorers Last
289,Away Team Goalscorers First
290,Away Team Goalscorers Last
291,Time of First Goal Brackets (Range)
292,Over/Under between 0 and 10m
293,Double Chance 0-15m
294,Double Chance 15-30m
295,Corners. Total (Range)
296,Double Chance 30-45m
297,Corners. total between 0 and 10m
298,Method of Victory
299,Cards over/under between 0 and 10 m
300,Both Teams to Receive 2+ Cards
301,Tackles. Away Total
302,Tackles. Home Total
303,Over/Under between 0 and 10 m
304,Over/Under between  0 and 10 m
305,Race to the 2nd goal?
306,Race to the 3rd goal?
307,Corners. Double Chance
308,Race To
309,Yellow Cards. Home Total (1st Half)
310,Yellow Cards Away Total (1st Half)
311,Which team will score the 1st goal?
312,1x2 - 20 minutes
313,Offsides Odd/Even
314,Fouls Odd/Even
315,Saves Total
316,Saves 1x2
317,Saves Asian H
318,Saves O/U Home
319,Saves O/U Away
320,Saves Double Chance
321,Penalty Awarded (1st Half)
322,Penalty Awarded (2nd Half)
323,Saves Odd/Even
324,Corner in 1-15 minutes
325,Corner in 16-30 minutes
326,Corner in 31-45 minutes
327,Corner in 45-60 minutes
328,Corner in 60-75 minutes
329,Corner in 75-90 minutes
